Picture Number,Appendix Section,Picture Filename,Appendix Picture Path,Source File or Workbook,Figure Type,Width Pixels,Height Pixels,File Size KB,Factual Caption,Use in Thesis
P001,Appendix I,agus1_actual_vs_benchmark_testing.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_actual_testing_plots/agus1_actual_vs_benchmark_testing.png,thesis_figures/benchmark_actual_testing_plots/agus1_actual_vs_benchmark_testing.png,PNG image,4200,1950,493.95,Actual versus benchmark testing forecast plot for Agus 1,Use as an appendix figure or supporting visual reference.
P002,Appendix I,agus2_actual_vs_benchmark_testing.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_actual_testing_plots/agus2_actual_vs_benchmark_testing.png,thesis_figures/benchmark_actual_testing_plots/agus2_actual_vs_benchmark_testing.png,PNG image,4200,1950,470.39,Actual versus benchmark testing forecast plot for Agus 2,Use as an appendix figure or supporting visual reference.
P003,Appendix I,agus4_actual_vs_benchmark_testing.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_actual_testing_plots/agus4_actual_vs_benchmark_testing.png,thesis_figures/benchmark_actual_testing_plots/agus4_actual_vs_benchmark_testing.png,PNG image,4200,1950,480.1,Actual versus benchmark testing forecast plot for Agus 4,Use as an appendix figure or supporting visual reference.
P004,Appendix I,agus5_actual_vs_benchmark_testing.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_actual_testing_plots/agus5_actual_vs_benchmark_testing.png,thesis_figures/benchmark_actual_testing_plots/agus5_actual_vs_benchmark_testing.png,PNG image,4200,1950,715.95,Actual versus benchmark testing forecast plot for Agus 5,Use as an appendix figure or supporting visual reference.
P005,Appendix I,agus6_actual_vs_benchmark_testing.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_actual_testing_plots/agus6_actual_vs_benchmark_testing.png,thesis_figures/benchmark_actual_testing_plots/agus6_actual_vs_benchmark_testing.png,PNG image,4200,1950,433.87,Actual versus benchmark testing forecast plot for Agus 6,Use as an appendix figure or supporting visual reference.
P006,Appendix I,agus7_actual_vs_benchmark_testing.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_actual_testing_plots/agus7_actual_vs_benchmark_testing.png,thesis_figures/benchmark_actual_testing_plots/agus7_actual_vs_benchmark_testing.png,PNG image,4200,1950,673.55,Actual versus benchmark testing forecast plot for Agus 7,Use as an appendix figure or supporting visual reference.
P007,Appendix I,all_plants_actual_vs_benchmark_testing.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_actual_testing_plots/all_plants_actual_vs_benchmark_testing.png,thesis_figures/benchmark_actual_testing_plots/all_plants_actual_vs_benchmark_testing.png,PNG image,4800,3600,1436.82,Actual versus benchmark testing forecast plot for all Agus plants,Use as an appendix figure or supporting visual reference.
P008,Appendix I,testing_mape_model_comparison.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_comparison/testing_mape_model_comparison.png,thesis_figures/benchmark_comparison/testing_mape_model_comparison.png,PNG image,2970,1466,82.38,Benchmark model testing metric comparison plot,Use as an appendix figure or supporting visual reference.
P009,Appendix I,testing_rmse_model_comparison.png,appendix_materials/figures/appendix_I_testing_plots/benchmark_comparison/testing_rmse_model_comparison.png,thesis_figures/benchmark_comparison/testing_rmse_model_comparison.png,PNG image,2970,1466,78.8,Benchmark model testing metric comparison plot,Use as an appendix figure or supporting visual reference.
P010,Appendix I,figure_4_01_agus1_cleaned_profile.png,appendix_materials/figures/appendix_I_testing_plots/cleaned_profiles/figure_4_01_agus1_cleaned_profile.png,thesis_figures/cleaned_profiles/figure_4_01_agus1_cleaned_profile.png,PNG image,3570,1466,234.79,Cleaned generation profile plot for Agus 1,Use as an appendix figure or supporting visual reference.
P011,Appendix I,figure_4_02_agus2_cleaned_profile.png,appendix_materials/figures/appendix_I_testing_plots/cleaned_profiles/figure_4_02_agus2_cleaned_profile.png,thesis_figures/cleaned_profiles/figure_4_02_agus2_cleaned_profile.png,PNG image,3570,1466,266.69,Cleaned generation profile plot for Agus 2,Use as an appendix figure or supporting visual reference.
P012,Appendix I,figure_4_03_agus4_cleaned_profile.png,appendix_materials/figures/appendix_I_testing_plots/cleaned_profiles/figure_4_03_agus4_cleaned_profile.png,thesis_figures/cleaned_profiles/figure_4_03_agus4_cleaned_profile.png,PNG image,3570,1466,230.98,Cleaned generation profile plot for Agus 4,Use as an appendix figure or supporting visual reference.
P013,Appendix I,figure_4_04_agus5_cleaned_profile.png,appendix_materials/figures/appendix_I_testing_plots/cleaned_profiles/figure_4_04_agus5_cleaned_profile.png,thesis_figures/cleaned_profiles/figure_4_04_agus5_cleaned_profile.png,PNG image,3570,1466,269.77,Cleaned generation profile plot for Agus 5,Use as an appendix figure or supporting visual reference.
P014,Appendix I,figure_4_05_agus6_cleaned_profile.png,appendix_materials/figures/appendix_I_testing_plots/cleaned_profiles/figure_4_05_agus6_cleaned_profile.png,thesis_figures/cleaned_profiles/figure_4_05_agus6_cleaned_profile.png,PNG image,3570,1466,312.98,Cleaned generation profile plot for Agus 6,Use as an appendix figure or supporting visual reference.
P015,Appendix I,figure_4_06_agus7_cleaned_profile.png,appendix_materials/figures/appendix_I_testing_plots/cleaned_profiles/figure_4_06_agus7_cleaned_profile.png,thesis_figures/cleaned_profiles/figure_4_06_agus7_cleaned_profile.png,PNG image,3570,1466,324.29,Cleaned generation profile plot for Agus 7,Use as an appendix figure or supporting visual reference.
P016,Appendix I,total_cascade_day_ahead_forecast_with_benchmarks.png,appendix_materials/figures/appendix_I_testing_plots/day_ahead_forecast/total_cascade_day_ahead_forecast_with_benchmarks.png,thesis_figures/day_ahead_forecast/total_cascade_day_ahead_forecast_with_benchmarks.png,PNG image,3268,1466,233.42,Day-ahead forecast plot,Use as an appendix figure or supporting visual reference.
P017,Appendix I,rbfnn_actual_vs_predicted_scatter.png,appendix_materials/figures/appendix_I_testing_plots/error_analysis/rbfnn_actual_vs_predicted_scatter.png,thesis_figures/error_analysis/rbfnn_actual_vs_predicted_scatter.png,PNG image,2066,1765,358.82,RBFNN testing error analysis plot,Use as an appendix figure or supporting visual reference.
P018,Appendix I,rbfnn_residual_distribution.png,appendix_materials/figures/appendix_I_testing_plots/error_analysis/rbfnn_residual_distribution.png,thesis_figures/error_analysis/rbfnn_residual_distribution.png,PNG image,2368,1466,87.35,RBFNN testing error analysis plot,Use as an appendix figure or supporting visual reference.
P019,Appendix I,rbfnn_testing_mape_per_plant.png,appendix_materials/figures/appendix_I_testing_plots/error_analysis/rbfnn_testing_mape_per_plant.png,thesis_figures/error_analysis/rbfnn_testing_mape_per_plant.png,PNG image,2370,1466,61.61,RBFNN testing error analysis plot,Use as an appendix figure or supporting visual reference.
P020,Appendix I,agus1_testing_split_forecast_comparison.png,appendix_materials/figures/appendix_I_testing_plots/full_testing_split/agus1_testing_split_forecast_comparison.png,outputs/testing_plots/full_testing_split/agus1_testing_split_forecast_comparison.png,PNG image,4800,2100,635.78,Full testing split forecast comparison plot for Agus 1,Use as an appendix figure or supporting visual reference.
P021,Appendix I,agus2_testing_split_forecast_comparison.png,appendix_materials/figures/appendix_I_testing_plots/full_testing_split/agus2_testing_split_forecast_comparison.png,outputs/testing_plots/full_testing_split/agus2_testing_split_forecast_comparison.png,PNG image,4800,2100,554.14,Full testing split forecast comparison plot for Agus 2,Use as an appendix figure or supporting visual reference.
P022,Appendix I,agus4_testing_split_forecast_comparison.png,appendix_materials/figures/appendix_I_testing_plots/full_testing_split/agus4_testing_split_forecast_comparison.png,outputs/testing_plots/full_testing_split/agus4_testing_split_forecast_comparison.png,PNG image,4800,2100,559.06,Full testing split forecast comparison plot for Agus 4,Use as an appendix figure or supporting visual reference.
P023,Appendix I,agus5_testing_split_forecast_comparison.png,appendix_materials/figures/appendix_I_testing_plots/full_testing_split/agus5_testing_split_forecast_comparison.png,outputs/testing_plots/full_testing_split/agus5_testing_split_forecast_comparison.png,PNG image,4800,2100,953.89,Full testing split forecast comparison plot for Agus 5,Use as an appendix figure or supporting visual reference.
P024,Appendix I,agus6_testing_split_forecast_comparison.png,appendix_materials/figures/appendix_I_testing_plots/full_testing_split/agus6_testing_split_forecast_comparison.png,outputs/testing_plots/full_testing_split/agus6_testing_split_forecast_comparison.png,PNG image,4800,2100,519.32,Full testing split forecast comparison plot for Agus 6,Use as an appendix figure or supporting visual reference.
P025,Appendix I,agus7_testing_split_forecast_comparison.png,appendix_materials/figures/appendix_I_testing_plots/full_testing_split/agus7_testing_split_forecast_comparison.png,outputs/testing_plots/full_testing_split/agus7_testing_split_forecast_comparison.png,PNG image,4800,2100,909.16,Full testing split forecast comparison plot for Agus 7,Use as an appendix figure or supporting visual reference.
P026,Appendix I,figure_4_13_agus1_testing_actual_vs_forecast.png,appendix_materials/figures/appendix_I_testing_plots/testing_actual_vs_forecast/figure_4_13_agus1_testing_actual_vs_forecast.png,thesis_figures/testing_actual_vs_forecast/figure_4_13_agus1_testing_actual_vs_forecast.png,PNG image,3570,1466,330.82,RBFNN testing actual versus forecast plot for Agus 1,Use as an appendix figure or supporting visual reference.
P027,Appendix I,figure_4_14_agus2_testing_actual_vs_forecast.png,appendix_materials/figures/appendix_I_testing_plots/testing_actual_vs_forecast/figure_4_14_agus2_testing_actual_vs_forecast.png,thesis_figures/testing_actual_vs_forecast/figure_4_14_agus2_testing_actual_vs_forecast.png,PNG image,3570,1466,246.79,RBFNN testing actual versus forecast plot for Agus 2,Use as an appendix figure or supporting visual reference.
P028,Appendix I,figure_4_15_agus4_testing_actual_vs_forecast.png,appendix_materials/figures/appendix_I_testing_plots/testing_actual_vs_forecast/figure_4_15_agus4_testing_actual_vs_forecast.png,thesis_figures/testing_actual_vs_forecast/figure_4_15_agus4_testing_actual_vs_forecast.png,PNG image,3570,1466,247.14,RBFNN testing actual versus forecast plot for Agus 4,Use as an appendix figure or supporting visual reference.
P029,Appendix I,figure_4_16_agus5_testing_actual_vs_forecast.png,appendix_materials/figures/appendix_I_testing_plots/testing_actual_vs_forecast/figure_4_16_agus5_testing_actual_vs_forecast.png,thesis_figures/testing_actual_vs_forecast/figure_4_16_agus5_testing_actual_vs_forecast.png,PNG image,3570,1466,457.8,RBFNN testing actual versus forecast plot for Agus 5,Use as an appendix figure or supporting visual reference.
P030,Appendix I,figure_4_17_agus6_testing_actual_vs_forecast.png,appendix_materials/figures/appendix_I_testing_plots/testing_actual_vs_forecast/figure_4_17_agus6_testing_actual_vs_forecast.png,thesis_figures/testing_actual_vs_forecast/figure_4_17_agus6_testing_actual_vs_forecast.png,PNG image,3570,1466,233.6,RBFNN testing actual versus forecast plot for Agus 6,Use as an appendix figure or supporting visual reference.
P031,Appendix I,figure_4_18_agus7_testing_actual_vs_forecast.png,appendix_materials/figures/appendix_I_testing_plots/testing_actual_vs_forecast/figure_4_18_agus7_testing_actual_vs_forecast.png,thesis_figures/testing_actual_vs_forecast/figure_4_18_agus7_testing_actual_vs_forecast.png,PNG image,3570,1466,435.88,RBFNN testing actual versus forecast plot for Agus 7,Use as an appendix figure or supporting visual reference.
