Date,Hour,Gen_Agus1_Unit1_MW,Gen_Agus1_Unit2_MW,Gen_Agus2_Unit1_MW,Gen_Agus2_Unit2_MW,Gen_Agus2_Unit3_MW,Gen_Agus4_Unit1_MW,Gen_Agus4_Unit2_MW,Gen_Agus4_Unit3_MW,Gen_Agus5_Unit1_MW,Gen_Agus5_Unit2_MW,Gen_Agus6_Unit1_MW,Gen_Agus6_Unit2_MW,Gen_Agus6_Unit3_MW,Gen_Agus6_Unit4_MW,Gen_Agus6_Unit5_MW,Gen_Agus7_Unit1_MW,Gen_Agus7_Unit2_MW,Total_Gen_Agus1_MW,Total_Gen_Agus2_MW,Total_Gen_Agus4_MW,Total_Gen_Agus5_MW,Total_Gen_Agus6_MW,Total_Gen_Agus7_MW,Total_Cascade_Generation_MW
2025-07-01,00:00,30.71457338724894,29.650175688693388,40.141883678333535,38.53630278152038,50.91576436001055,47.481937291722645,45.041785386595286,48.03088049261409,21.661157398389875,21.468858428419857,34.5,0.0,47.416147152486786,28.321941349567997,48.08441149794521,21.814944665354286,21.558988314491934,60.36474907594233,129.59395081986446,140.554603170932,43.13001582680973,158.3225,43.37393297984622,575.3397518733947
2025-07-01,1:00,30.4666449149824,29.528373430381013,40.090053317895816,37.89734513083411,51.20320656830265,47.33737272944325,45.091501262211956,48.020665035905715,21.310787028536957,21.28663148825866,34.5,0.0,44.87902252362228,26.66202747637768,50.0,21.232795641572274,20.922162818333895,59.99501834536341,129.19060501703257,140.44953902756092,42.597418516795614,156.04104999999996,42.15495845990617,570.4285893666587
2025-07-01,2:00,30.825202752557352,29.90183417712736,40.16074632892434,37.5271889016346,51.27756322821615,47.229295595449074,45.08387261972038,47.9803756609541,21.282315908112274,21.344490963537474,34.5,0.0,46.91721250332506,26.110412496674922,50.0,21.0180174002316,20.670519401608097,60.727036929684715,128.9654984587751,140.29354387612355,42.62680687164975,157.52762499999997,41.688536801839696,571.8290479380729
2025-07-01,3:00,30.557872236135722,29.66140740488274,40.08794296741079,37.26913709776528,51.166271035115074,47.16638820756444,45.071741408035145,47.953675578402304,21.59633402064694,21.70071286767131,34.5,0.0,47.61289949852956,25.754613001470418,50.0,20.723456829065928,20.375196818995,60.21927964101846,128.52335110029114,140.1918051940019,43.29704688831825,157.86751249999998,41.09865364806093,571.1976489716907
2025-07-01,4:00,30.509441457580376,29.590759861819066,39.980447313404106,37.05454224896812,51.024964124011404,47.119399491492004,45.050270968307,47.919431098265136,21.853859580327452,21.98513268382138,34.5,0.0,48.31246961784987,25.01253663215014,50.0,20.29102448599449,19.939156896794344,60.100201319399446,128.05995368638364,140.08910155806413,43.83899226414883,157.82500625,40.230181382788835,570.1434364607849
2025-07-01,5:00,30.566315383951494,29.706722222898087,39.731156212407164,36.9250517368819,50.901581603926445,47.05731018004508,45.00665172901006,47.86900481803696,21.69675680740402,21.827933245791286,34.5,0.0,48.70607997557301,24.29267314942698,50.0,19.859294717799425,19.51300652625513,60.273037606849584,127.55778955321551,139.9329667270921,43.52469005319531,157.498753125,39.372301244054555,568.159538309407
2025-07-01,6:00,30.1504429162985,29.30230061775383,39.48148363271195,36.78674094022101,50.77222272216102,46.99710835076678,44.96085857303497,47.81859139094181,21.889600246499295,21.958977160789523,34.5,0.0,49.378976877376815,23.81494968512317,50.0,20.508239345360455,20.14442853303628,59.45274353405233,127.04044729509397,139.77655831474357,43.848577407288815,157.6939265625,40.652667878396734,568.4649209920755
2025-07-01,7:00,30.165567904133084,29.312746141511646,39.27756939164084,36.67536736815478,50.63248032146259,46.94184999594067,44.9161600159214,47.769021629208815,22.096101551676288,22.143470903602527,34.5,0.0,50.0,23.85657506408953,49.674938217160495,20.753446296313665,20.41019893030716,59.47831404564473,126.58541708125821,139.6270316410709,44.23957245527882,158.03151328125003,41.16364522662083,569.1254937311235
2025-07-01,8:00,29.986687682432763,29.162458143135833,39.11954755327994,36.52901083360446,50.481828480538056,46.91493198459882,44.87878401864798,47.737220159185675,22.144518412598288,22.119236748693,34.5,0.0,48.126951204938564,25.180055435686416,50.0,20.78374734083666,20.31931049276,59.149145825568596,126.13038686742246,139.53093616243248,44.263755161291286,157.807006640625,41.10305783359666,567.9842884909364
2025-07-01,9:00,30.07177192965344,29.27173786580631,38.987271250119996,36.3962249159723,50.33463441286934,46.89046039528616,44.842902385420764,47.70185800472788,22.104592302976698,22.052973657934743,34.5,0.0,48.03411818653069,25.131485133781805,50.0,20.49036589849551,20.032577473080366,59.34350979545975,125.71813057896163,139.4352207854348,44.15756596091144,157.6656033203125,40.52294337157588,566.842973812656
2025-07-01,10:00,30.003549103667183,29.213324124818172,38.895475770783825,36.30896468291447,50.218933882364354,46.86138362617515,44.81183488246956,47.66414621512129,22.09781943629176,22.024632720795342,34.5,0.0,48.07521476631519,25.15298689384103,50.0,20.44576038852941,19.86766234619489,59.216873228485355,125.42337433606265,139.337364723766,44.1224521570871,157.72820166015623,40.3134227347243,566.1416888402816
2025-07-01,11:00,30.065897707096518,29.300292426586708,38.802934118623085,36.22380575039794,50.08360220331814,46.83353219531427,44.783035483380395,47.623396038289016,22.07951122711004,22.005781400854715,34.5,0.0,48.2374712351884,25.23787959488973,50.0,20.88951744344029,20.215159736780244,59.366190133683226,125.11034207233917,139.23996371698368,44.085292627964755,157.97535083007813,41.104677180220534,566.8818165612695
2025-07-01,12:00,29.85621859714246,29.085979057041243,38.76770548189077,36.16641629754191,50.02826678298953,46.80716972930751,44.752712148467175,47.58346186715105,22.04675882988871,21.96868649509649,34.5,0.0,46.53126115796824,24.34518925707083,50.0,21.343048916190412,20.63625208439357,58.9421976541837,124.9623885624222,139.14334374492574,44.0154453249852,155.37645041503907,41.97930100058398,564.4191267021399
2025-07-01,13:00,29.622312368286618,28.85985229148303,38.73017606573222,36.12530860399812,49.98453566590996,46.77026701653267,44.725683580298885,47.551214881446995,22.024345775224944,21.950138749934304,34.5,0.0,47.34541833217028,24.77115687534924,50.0,21.173684566769612,20.416599588052986,58.48216465976965,124.8400203356403,139.04716547827854,43.97448452515925,156.61657520751953,41.5902841548226,564.5506943611898
2025-07-01,14:00,29.866901017268326,29.106789925077894,38.68637710643203,36.07775253940467,49.93205132083499,46.73327486137101,44.695414505457386,47.52229784480295,22.023739992370444,21.94878296712401,34.5,0.0,47.81296170168567,25.015775902074065,50.0,20.9663678938729,20.296248503277805,58.973690942346224,124.69618096667169,138.95098721163134,43.972522959494455,157.32873760375975,41.26261639715071,565.1847360810542
2025-07-01,15:00,29.777014181961167,29.031020289380546,38.64051243728658,36.061462268327695,49.88091507599612,46.700408640188314,44.66456137380666,47.48939722557843,22.023463165066428,21.949243348999698,34.5,0.0,47.034712291940075,26.316306509939814,50.0,20.717915921852867,20.15105334845808,58.80803447134171,124.58288978161039,138.8543672395734,43.972706514066125,157.8510188018799,40.86896927031095,564.9379860787825
2025-07-01,16:00,29.91891554627459,29.146746075873047,38.61411221801262,36.026328740184354,49.83118984336561,46.66937952057635,44.63422769935131,47.455121020224176,22.017547343331657,21.952748927423755,34.5,0.0,43.612132661616826,29.8479267393231,50.0,20.588242380653696,20.024720213402947,59.06566162214764,124.47163080156258,138.75872824015184,43.97029627075541,157.96005940093994,40.61296259405664,564.8393389296141
2025-07-01,17:00,30.13211046866007,29.340771569301836,38.602744552781814,35.99494777117303,49.76267949755992,46.63190929966305,44.60441732770003,47.4267626133672,22.022943408743032,21.951184247869648,34.5,0.0,42.32695983160359,31.000969868866367,50.0,20.598958681864506,19.985783024164817,59.47288203796191,124.36037182151478,138.66308924073027,43.97412765661268,157.82792970046995,40.58474170602932,564.8831421633188
2025-07-01,18:00,29.93847892282846,29.18744476464651,38.491684312038096,36.10113104172845,49.65629748770043,46.597122066473496,44.574584853589826,47.39574332124538,22.01975215674339,21.947691100700993,34.5,0.0,42.848301771179784,30.42941307905521,50.0,20.87683526159622,20.235559795789875,59.125923687474966,124.24911284146697,138.5674502413087,43.96744325744439,157.777714850235,41.112395057386095,564.8000399353161
2025-07-01,19:00,29.959236076589914,29.20555904519703,38.37203027096583,36.24366898378906,49.52215460666428,46.56240112770825,44.54367904025186,47.36428160730029,22.023967249729964,21.947335269636792,34.5,0.0,43.31719562114957,29.97711180396793,50.0,21.16928592322156,20.507084091281687,59.164795121786945,124.13785386141916,138.47036177526041,43.97130251936676,157.7943074251175,41.67637001450325,565.214990717454
2025-07-01,20:00,30.210945550740565,29.41349949677718,38.294956767070595,36.3033675525365,49.429349265604394,46.52716586541331,44.51466257154116,47.33601129365451,22.051738447004723,21.964602082659056,34.5,0.0,43.6784184084262,29.57253530413255,50.0,21.011299292932975,20.33804391936124,59.624445047517746,124.02767358521149,138.37783973060897,44.01634052966378,157.75095371255875,41.349343212294215,565.146595817855
